,gene,highly_variable_rank
107,MAPRE3,487.0
108,EMILIN1,391.0
109,CGREF1,189.0
110,PPP1CB,314.5
111,LBH,357.0
112,LTBP1,447.0
113,CYP1B1,150.0
114,THUMPD2,482.0
115,EML4,486.0
116,COX7A2L,236.5
117,ZFP36L2,345.0
118,THADA,467.0
119,EPCAM,267.5
120,FOXN2,411.0
121,EHBP1,455.0
122,AFTPH,403.0
123,SLC1A4,338.5
124,AAK1,384.0
125,TEX261,254.0
126,ACTG2,29.0
127,CAPG,131.0
128,IGKC,0.0
129,TMEM131,417.5
130,AFF3,121.0
131,TBC1D8,369.0
132,SLC9A2,473.0
133,ACOXL,327.0
134,PSD4,365.5
135,DBI,183.0
136,TMEM185B,480.0
137,TFCP2L1,330.0
138,TSN,460.0
139,LIMS2,362.0
140,FAM168B,343.0
141,PLEKHB2,420.0
142,NCKAP5,274.0
143,CXCR4,130.0
144,KIF5C,374.0
145,NR4A2,440.0
146,DPP4,274.0
147,GORASP2,466.0
148,TLK1,284.0
149,CYBRD1,135.0
150,ITGA6,341.0
151,DNAJC10,379.5
152,COL3A1,81.5
153,TMEFF2,21.0
154,SLC39A10,245.0
155,HSPD1,132.0
156,CLK1,185.0
157,FAM117B,214.5
158,EEF1B2,183.0
159,FASTKD2,316.0
160,MAP2,255.0
161,FN1,222.0
162,IGFBP5,133.0
163,TNS1,329.0
164,AAMP,482.0
165,DES,84.0
166,FARSB,391.0
167,ACSL3,209.0
168,C2orf72,219.0
169,TRPM8,121.0
170,SH3BP4,255.0
171,COL6A3,177.0
172,MLPH,191.0
173,RAMP1,306.0
174,RNPEPL1,422.0
175,ANO7,294.0
176,ITPR1,409.0
177,CAMK1,290.0
178,VHL,337.0
179,NUP210,466.5
180,FBLN2,394.0
181,THRB,122.0
182,TOP2B,488.0
183,STT3B,231.0
184,IMPDH2,264.0
185,SEMA3F,448.0
186,CYB561D2,346.0
187,MANF,453.0
188,NT5DC2,477.0
189,MUSTN1,145.5
190,ARF4,368.5
191,PDHB,405.0
192,EPHA3,421.0
193,TOMM70,460.0
194,ALCAM,277.0
195,FSTL1,296.0
196,HGD,181.0
197,RABL3,490.0
198,FAM162A,323.0
199,PARP14,363.0
200,PDIA5,456.0
201,HACD2,410.0
202,MYLK,63.0
203,GATA2,391.0
204,PLXND1,296.0
205,ATP2C1,344.0
206,CPNE4,361.5
207,ACPP,77.0
208,COPB2,393.0
209,PLOD2,352.0
210,PLSCR1,177.0
211,TM4SF1,467.5
212,EIF2A,215.0
213,P2RY1,430.5
214,MME,397.0
215,GPR160,156.5
216,TNFSF10,431.0
217,TBL1XR1,363.5
218,EIF4G1,317.0
219,DNAJB11,393.0
220,ST6GAL1,455.0
221,FAM43A,436.5
222,APOD,88.5
223,TNK2,300.5
224,FGFRL1,215.0
225,SPON2,15.0
226,SLBP,238.0
227,ADD1,432.0
228,MFSD10,395.0
229,NSG1,464.5
230,TBC1D14,454.0
231,QDPR,309.0
232,SOD3,17.0
233,KLHL5,278.0
234,BEND4,247.0
235,ATP8A1,276.5
236,PAICS,361.0
237,IGFBP7,85.0
238,SLC4A4,164.0
239,SCARB2,257.0
240,SHROOM3,481.5
241,CCNI,104.5
242,CCNG2,428.0
243,PRKG2,17.0
244,MAPK10,338.5
245,HSD17B11,275.5
246,NUDT9,283.5
247,SPARCL1,211.0
248,PYURF,332.5
249,SNCA,118.0
250,BMPR1B,309.0
251,PPP3CA,351.0
252,CYP2U1,344.0
253,PLA2G12A,349.0
254,CAMK2D,465.0
255,SEC24D,421.0
256,SYNPO2,358.5
257,PCDH18,424.0
258,CLGN,277.0
259,INPP4B,416.0
260,ZNF827,321.0
261,GASK1B,387.0
262,SMIM31,324.0
263,CPE,178.0
264,PALLD,284.0
265,CBR4,443.0
266,SH3RF1,274.5
267,CLCN3,448.0
268,ANKRD37,464.0
269,PDLIM3,306.0
270,FAT1,337.0
271,SLC12A7,479.0
272,MTRR,400.5
273,MARCH6,321.5
274,RETREG1,304.0
275,MYO10,444.0
276,PDZD2,442.0
277,AMACR,38.0
278,RAI14,335.0
279,LIFR,203.0
280,C7,113.0
281,SELENOP,286.0
282,PLPP1,169.0
283,OCLN,395.0
284,MCCC2,56.0
285,SCAMP1,483.0
286,THBS4,80.0
287,SERINC5,381.0
288,CETN3,484.0
289,NR2F1,428.0
290,C5orf30,438.0
291,KCNN2,329.0
292,TRIM36,324.0
293,DMXL1,212.0
294,HSD17B4,361.5
295,SLC12A2,301.0
296,HINT1,436.0
297,IRF1,32.0
298,SHROOM1,274.0
299,UQCRQ,359.0
300,UBE2B,360.0
301,TGFBI,453.5
302,SPOCK1,279.0
303,EGR1,63.0
304,HSPA9,252.5
305,MATR3,334.5
306,PAIP2,479.0
307,TAF7,332.0
308,SPRY4,240.5
309,LARS,320.0
310,DPYSL3,169.0
311,ADRB2,308.0
312,SLC26A2,422.0
313,PDGFRB,387.0
314,CD74,32.0
315,SPARC,134.0
316,DUSP1,135.5
317,ERGIC1,379.5
318,STC2,158.0
319,HNRNPH1,306.0
320,GMDS,214.0
321,RIPK1,389.0
322,TUBB2A,204.0
323,SLC22A23,421.5
324,TFAP2A,238.0
325,GCNT2,246.0
326,PAK1IP1,199.0
327,HIVEP1,464.0
328,GMNN,427.0
329,HIST1H4A,124.0
330,HIST1H4B,84.0
331,HIST1H4C,82.5
332,HIST1H2AC,96.0
333,HIST1H2BD,371.5
334,HIST1H3D,380.0
335,HIST1H2AD,364.0
336,HIST1H2BG,252.0
337,HIST1H2AE,235.5
338,HIST1H4H,92.0
339,HIST1H3H,75.0
340,HIST1H2BN,96.5
341,HLA-F,143.0
342,HLA-A,488.5
343,HLA-E,405.0
344,BAG6,443.0
345,HSPA1A,155.0
346,HSPA1B,70.0
347,SNHG32,215.0
348,CFB,58.0
349,HLA-DRA,38.0
350,TAP1,175.0
351,HLA-DPA1,112.0
352,HLA-DPB1,95.0
353,UQCC2,126.0
354,SPDEF,347.0
355,CCDC167,382.0
356,GLO1,224.0
357,VEGFA,299.0
358,HSP90AB1,392.0
359,ENPP4,483.0
360,CYP39A1,471.5
361,SLC25A27,442.0
362,PLA2G7,440.0
363,TNFRSF21,292.0
364,ELOVL5,320.5
365,FAM135A,302.5
366,COX7A2,470.0
367,MYO6,107.0
368,UFL1,470.0
369,CD24,366.0
370,SOBP,379.0
371,CDK19,214.0
372,AMD1,160.0
373,CCN2,211.0
374,TCF21,178.0
375,SGK1,242.5
376,ARFGEF3,195.0
377,SYNE1,454.0
378,SOD2,122.0
379,SLC22A3,256.5
380,KDELR2,297.5
381,TSPAN13,158.0
382,AGR2,58.5
383,NPY,38.0
384,CBX3,357.0
385,TRGC1,178.0
386,TRGV9,296.5
387,MPLKIP,409.0
388,AEBP1,160.5
389,IGFBP3,68.0
390,HUS1,273.0
391,IKZF1,454.0
392,SEC61G,355.0
393,ZNF680,405.0
394,CLDN3,89.0
395,CLDN4,45.0
396,HSPB1,69.0
397,YWHAG,426.0
398,FGL2,396.0
399,SLC25A40,380.0
400,STEAP4,226.0
401,STEAP1,200.0
402,STEAP2,96.0
403,COL1A2,67.0
404,BHLHA15,84.0
405,ZNF655,236.0
406,AZGP1,6.0
407,PCOLCE,256.0
408,DNAJB9,352.0
409,HIPK2,176.5
410,SLC37A3,375.0
411,TCAF1,222.0
412,PDIA4,301.0
413,RARRES2,393.0
414,INSIG1,268.0
415,PTPRN2,111.0
416,FDFT1,382.0
417,CTSB,248.5
418,TUSC3,318.0
419,CSGALNACT1,387.5
420,ADGRA2,245.0
421,TCIM,179.0
422,SFRP1,375.5
423,POMK,217.0
424,CEBPD,163.0
425,PRKDC,240.0
426,PCMTD1,409.5
427,FAM110B,319.0
428,ARMC1,380.0
429,COPS5,320.0
430,SULF1,115.0
431,TMEM70,276.0
432,CRISPLD1,81.0
433,TPD52,176.0
434,ZBTB10,146.0
435,FABP5,435.0
436,ZFAND1,258.0
437,WWP1,276.5
438,CPNE3,317.0
439,INTS8,400.0
440,TP53INP1,227.0
441,NIPAL2,485.0
442,VPS13B,123.5
443,RNF19A,404.0
444,PABPC1,60.0
445,EIF3E,214.0
446,MAL2,176.0
447,FBXO32,288.0
448,NDUFB9,295.5
449,TRIB1,160.0
450,MYC,48.0
451,PTP4A3,285.5
452,PUF60,338.0
453,OPLAH,392.0
454,EXOSC4,371.0
455,CYC1,457.0
456,VPS28,392.0
457,MFSD3,429.0
458,C8orf33,253.0
459,BNC2,217.0
460,APTX,352.0
461,DNAJA1,373.0
462,TESK1,422.0
463,TPM2,116.0
464,HINT2,305.0
465,ZFAND5,157.5
466,ALDH1A1,263.0
467,RORB,141.0
468,PRUNE2,310.0
469,UBQLN1,185.0
470,GOLM1,453.0
471,ISCA1,480.0
472,TUT7,108.0
473,CTSL,488.0
474,OGN,452.0
475,FAM120A,277.0
476,PHF2,404.0
477,FBP1,146.0
478,ERCC6L2,275.0
479,ANP32B,142.0
480,NANS,73.0
481,TRIM14,433.0
482,CORO2A,449.0
483,COL15A1,431.5
484,TXN,416.0
485,ECPAS,139.5
486,PTGR1,185.5
487,KIAA1958,351.0
488,SLC31A1,193.0
489,PRPF4,378.0
490,POLE3,345.0
491,ATP6V1G1,392.0
492,TNC,420.5
493,ASTN2,262.5
494,PHF19,473.5
495,RAB14,269.0
496,GSN,88.0
497,MRRF,390.0
498,PSMB7,214.0
499,HSPA5,195.0
500,ENG,112.0
501,AK1,482.5
502,CIZ1,243.0
503,SET,307.0
504,ASS1,416.5
505,SURF1,439.0
506,COL5A1,276.0
507,CCDC183,307.0
508,PTGDS,27.0
509,LRRC26,351.0
510,IDI1,371.0
511,PFKP,74.0
512,GDI2,463.0
513,VIM,61.0
514,PLXDC2,295.0
515,BAMBI,310.0
516,KIF5B,486.0
517,NRP1,297.5
518,CXCL12,360.0
519,ZNF22,413.0
520,MSMB,15.0
521,WASHC2A,486.0
522,ANK3,342.0
523,SRGN,465.0
524,SGPL1,442.0
525,PCBD1,276.0
526,DDIT4,262.0
527,P4HA1,351.0
528,CHCHD1,223.0
529,KCNMA1,440.5
530,TMEM254,207.0
531,ADIRF,276.5
532,GLUD1,375.0
533,ATAD1,320.0
534,PTEN,396.0
535,ACTA2,30.0
536,HELLS,342.0
537,SORBS1,246.5
538,TM9SF3,127.0
539,SCD,60.0
540,NFKB2,313.0
541,BORCS7,422.0
542,ADD3,467.0
543,IFITM2,300.0
544,IFITM3,198.0
545,CRACR2B,78.0
546,TOLLIP,443.0
547,CTSD,472.0
548,OR51E1,33.0
549,OR51E2,52.0
550,OR51C1P,50.0
551,TRIM22,309.0
552,RIC3,478.0
553,MRVI1,261.0
554,MICAL2,186.0
555,PDE3B,394.0
556,NUCB2,335.0
557,SERGEF,480.0
558,LUZP2,191.0
559,LIN7C,481.0
560,CD44,163.0
561,API5,409.0
562,C11orf96,221.0
563,CREB3L1,168.0
564,MDK,201.5
565,UBE2L6,391.0
566,SERPING1,314.0
567,GLYATL1,401.0
568,FAM111A,473.0
569,TMEM138,433.0
570,SYT7,438.0
571,FADS2,151.0
572,FADS1,345.0
573,FTH1,72.0
574,ASRGL1,468.0
575,EEF1G,76.0
576,UQCC3,487.0
577,PLAAT4,21.0
578,PLAAT3,375.0
579,PRDX5,208.0
580,TM7SF2,351.0
581,CDC42EP2,409.5
582,C11orf80,438.0
583,POLD4,459.0
584,CORO1B,445.0
585,GSTP1,199.0
586,NUDT8,382.0
587,PPP6R3,115.5
588,IGHMBP2,274.0
589,MRGPRF,191.0
590,TPCN2,190.0
591,LTO1,328.5
592,ANO1,167.0
593,DHCR7,405.5
594,STARD10,77.0
595,CAPN5,181.0
596,RAB30,255.0
597,PRSS23,147.0
598,FZD4,260.0
599,TMEM135,482.0
600,C11orf54,430.0
601,ENDOD1,264.0
602,SESN3,288.5
603,TMEM123,116.0
604,SLC35F2,336.0
605,C11orf1,413.0
606,CRYAB,288.0
607,PTS,444.0
608,TAGLN,55.0
609,HYOU1,480.0
610,MCAM,90.0
611,TRIM29,124.0
612,HSPA8,81.0
613,ETS1,428.0
614,NCAPD3,117.0
615,ACAD8,23.0
616,GLB1L2,184.0
617,VWF,150.0
618,LPCAT3,460.0
619,C1S,209.0
620,C1R,133.0
621,A2M,146.5
622,FAM234B,238.0
623,H2AFJ,139.0
624,MGP,116.0
625,ARHGDIB,389.0
626,MGST1,483.0
627,CMAS,381.0
628,KRAS,398.5
629,ITPR2,226.0
630,ZCRB1,308.0
631,SCAF11,365.0
632,TMBIM6,356.0
633,DAZAP2,468.0
634,NR4A1,37.5
635,KRT5,47.0
636,KRT8,374.5
637,MFSD5,432.0
638,PFDN5,327.5
639,PCBP2,155.5
640,TARBP2,453.0
641,ITGA5,320.0
642,ERBB3,303.0
643,RNF41,415.0
644,SHMT2,90.5
645,RASSF3,466.0
646,LYZ,28.0
647,RAB3IP,461.5
648,TSPAN8,65.0
649,GLIPR1,363.0
650,OSBPL8,20.0
651,ATP2B1,420.0
652,LUM,203.0
653,DCN,103.0
654,TMCC3,416.5
655,SNRPF,421.0
656,LTA4H,361.5
657,ANKS1B,277.0
658,IGF1,179.0
659,HSP90B1,297.0
660,PRDM4,419.0
661,PPP1CC,486.0
662,TBX3,452.0
663,WSB2,347.0
664,SRSF9,319.5
665,DYNLL1,307.0
666,CAMKK2,461.0
667,ANAPC5,308.5
668,ZNF664,257.0
669,BRI3BP,302.0
670,SAP18,439.0
671,MIPEP,43.0
672,POLR1D,270.5
673,SLC7A1,402.5
674,HMGB1,327.5
675,LHFPL6,289.0
676,TSC22D1,456.0
677,RCBTB1,377.0
678,KLF5,425.0
679,TBC1D4,132.0
680,COMMD6,212.0
681,ABCC4,144.0
682,IPO5,331.0
683,EFNB2,122.0
684,COL4A1,125.0
685,ING1,270.0
686,ATP11A,190.0
687,GAS6,266.0
688,APEX1,345.0
689,RNASE4,404.0
690,RNASE1,321.0
691,HNRNPC,395.5
692,OXA1L,475.0
693,MMP14,270.0
694,PRKD1,476.0
695,DTD2,383.0
696,MBIP,414.0
697,FOXA1,416.0
698,MGAT2,455.0
699,TXNDC16,372.0
700,LGALS3,490.0
701,TMEM30B,430.0
702,SGPP1,154.5
703,PLEKHH1,157.0
704,PIGH,441.0
705,ARG2,176.0
706,RDH11,113.0
707,ZNF410,399.0
708,ALDH6A1,310.0
709,NPC2,199.5
710,FOS,35.0
711,GSTZ1,364.0
712,SEL1L,425.0
713,TC2N,286.5
714,MOAP1,363.0
715,IFI27L1,472.0
716,WARS,81.5
717,HSP90AA1,359.0
718,CKB,390.5
719,CRIP2,325.0
720,IGHA1,1.0
721,NIPA1,268.5
722,NIPA2,250.0
723,TJP1,479.0
724,EMC7,451.0
725,THBS1,154.0
726,SPINT1,477.0
727,PDIA3,479.0
728,B2M,52.5
729,C15orf48,127.0
730,SLC30A4,398.0
731,COPS2,469.5
732,GABPB1,180.0
733,FAM214A,452.0
734,RAB27A,243.0
735,CIAO2A,192.0
736,PPIB,166.5
737,HACD3,412.5
738,ANP32A,293.0
739,ADPGK,417.5
740,CPLX3,466.0
741,SCAMP2,418.0
742,MPI,457.0
743,MTHFS,377.0
744,ABHD17C,316.5
745,HOMER2,334.0
746,SEC11A,185.0
747,MFGE8,195.0
748,ABHD2,47.0
749,MESP1,83.0
750,FURIN,441.0
751,FAM174B,452.0
752,SYNM,202.0
753,SELENOS,427.0
754,METTL26,244.0
755,ECI1,406.0
756,ZG16B,417.0
757,IL32,58.0
758,NMRAL1,471.0
759,PPL,427.0
760,LITAF,193.5
761,SNN,459.5
762,RSL1D1,170.0
763,GP2,305.0
764,ACSM3,380.5
765,ACSM1,21.5
766,THUMPD1,353.0
767,CRYM,213.0
768,GTF3C1,268.0
769,XPO6,195.0
770,NUPR1,232.0
771,RABEP2,381.0
772,SEZ6L2,458.0
773,ORAI3,146.0
774,PRSS8,327.0
775,LONP2,474.0
776,IRX3,162.0
777,MT2A,7.0
778,MT1E,79.5
779,MT1G,20.0
780,MT1X,36.5
781,HERPUD1,331.0
782,CDH11,434.5
783,CIAO2B,429.0
784,ESRP2,473.0
785,MON1B,6.0
786,CDYL2,399.0
787,CENPN,175.0
788,COTL1,294.0
789,CYBA,363.0
790,APRT,423.0
791,CHMP1A,332.0
792,SHPK,339.0
793,RNASEK,429.0
794,CLDN7,490.0
795,EIF4A1,354.0
796,UBB,201.0
797,RASD1,192.0
798,MFAP4,407.0
799,TRAF4,330.0
800,PHF12,316.0
801,RHOT1,392.0
802,ACACA,451.0
803,PPP1R1B,130.0
804,KRT15,16.0
805,EIF1,130.0
806,JUP,394.0
807,FKBP10,486.5
808,NT5C3B,423.0
809,ACLY,115.0
810,WNK4,280.0
811,NBR1,397.0
812,SLC25A39,216.0
813,NSF,241.5
814,KPNB1,458.0
815,PRR15L,212.0
816,PRAC1,82.5
817,PRAC2,222.0
818,COL1A1,101.0
819,TOM1L1,447.0
820,VMP1,446.0
821,TBX2,318.0
822,MED13,328.0
823,DCAF7,324.0
824,LIMD2,173.0
825,PECAM1,239.5
826,ABCA8,357.0
827,MAP2K6,299.5
828,HID1,382.0
829,JPT1,217.0
830,LLGL2,372.0
831,H3F3B,161.0
832,MXRA7,286.0
833,SYNGR2,396.0
834,TIMP2,472.0
835,LGALS3BP,270.0
836,P4HB,294.0
837,PYCR1,365.5
838,CENPX,252.0
839,DCXR,356.0
840,DUS1L,299.0
841,FASN,39.0
842,USP14,463.0
843,COLEC12,115.0
844,MYL12B,290.0
845,NDUFV2,333.0
846,APCDD1,96.0
847,IMPA2,296.0
848,LDLRAD4,331.0
849,NPC1,463.0
850,ANKRD29,83.0
851,LAMA3,97.0
852,IMPACT,477.0
853,DSC2,401.0
854,DSG2,256.0
855,SLC39A6,138.0
856,TPGS2,360.0
857,C18orf32,450.0
858,ATP8B1,117.0
859,NEDD4L,302.0
860,SEC11C,182.0
861,LMAN1,461.0
862,CYB5A,378.5
863,CNDP2,174.0
864,GAMT,406.5
865,LMNB2,463.5
866,SGTA,335.0
867,HMG20B,367.0
868,EEF2,481.5
869,MYDGF,450.0
870,CERS4,440.0
871,CD320,417.0
872,RAB11B,432.0
873,UBL5,442.0
874,LDLR,207.0
875,RAB3D,296.0
876,TMEM205,280.0
877,CNN1,92.0
878,TRIR,353.0
879,JUNB,99.0
880,NACC1,310.0
881,IER2,57.0
882,NOTCH3,433.5
883,SLC35E1,277.0
884,BST2,217.0
885,GDF15,53.0
886,COPE,276.0
887,HOMER3,413.0
888,TMEM161A,371.0
889,CEBPA,305.0
890,HPN,326.0
891,HSPB6,435.0
892,TYROBP,434.0
893,CAPNS1,293.5
894,ZNF146,475.0
895,SPINT2,375.0
896,PPP1R14A,357.0
897,ZFP36,294.0
898,LTBP4,208.0
899,AXL,280.0
900,TGFB1,357.5
901,PAFAH1B3,322.5
902,ETHE1,476.0
903,CBLC,474.5
904,NECTIN2,131.0
905,FOSB,21.5
906,VASP,489.0
907,AP2S1,278.0
908,FTL,97.0
909,CD37,136.0
910,TEAD2,363.0
911,AKT1S1,488.0
912,ATF5,478.0
913,C19orf48,335.0
914,KLK4,217.0
915,KLK11,142.0
916,ZNF649,439.0
917,ZNF350,457.0
918,ZNF615,408.0
919,TFPT,400.0
920,CDC42EP5,218.0
921,TMEM238,361.0
922,ZNF544,454.0
923,ERVK3-1,335.0
924,FKBP1A,171.0
925,PCNA,249.0
926,PLCB1,412.0
927,PLCB4,235.0
928,JAG1,251.0
929,SMIM26,451.0
930,ABHD12,474.0
931,ID1,150.0
932,PXMP4,385.0
933,SCAND1,253.0
934,MYL9,48.5
935,NDRG3,337.5
936,TGM2,60.0
937,WFDC2,138.5
938,PLTP,481.5
939,UBE2V1,328.0
940,CDH26,176.0
941,CXADR,419.0
942,APP,131.0
943,CLDN8,324.0
944,DOP1B,338.0
945,PCP4,188.0
946,BACE2,84.0
947,TMPRSS2,205.0
948,NDUFV3,396.0
949,SLC19A1,325.0
950,YBEY,302.0
951,TMEM121B,423.0
952,ARVCF,434.5
953,MIF,184.0
954,XBP1,31.0
955,NEFH,22.0
956,SMTN,162.0
957,PATZ1,386.0
958,TIMP3,100.0
959,MCM5,465.0
960,EIF3D,255.5
961,LGALS1,281.0
962,H1F0,179.0
963,EIF3L,167.5
964,NPTXR,454.0
965,SLC25A17,400.0
966,RRP7A,155.0
967,ARFGAP3,430.0
968,TSPO,384.0
969,PHF21B,461.0
970,FBLN1,108.0
971,TMSB4X,88.5
972,REPS2,472.0
973,EIF1AX,368.5
974,SMS,196.0
975,EIF2S3,86.0
976,DDX3X,369.0
977,MAOA,412.0
978,TIMP1,59.0
979,EBP,403.0
980,PAGE4,90.0
981,MAGED1,370.0
982,MSN,328.0
983,AR,202.0
984,EDA,435.0
985,PDZD11,367.0
986,NONO,343.5
987,OGT,464.0
988,PGK1,188.0
989,SH3BGRL,459.0
990,TMSB15A,218.0
991,PRPS1,143.0
992,LAMP2,362.0
993,STAG2,313.5
994,SMARCA1,483.5
995,BGN,113.0
996,SSR4,289.0
997,FLNA,90.0
998,MPP1,489.0
999,VBP1,471.0
