,gene
7,ACAP3
199,AGO4
3,AGRN
68,AGTRAP
155,AHDC1
91,ALDH4A1
90,ARHGEF10L
31,ARHGEF16
146,ARID1A
121,ASAP3
162,ATP5IF1
12,AURKAIP1
5,B3GALT6
183,BSDC1
115,C1QB
114,C1QC
37,C1orf174
103,CAMK2N1
43,CAMTA1
96,CAPZB
78,CASP9
61,CASZ1
13,CCNL2
17,CDK11B
58,CENPS
36,CEP104
69,CLCN6
132,CLIC4
51,CLSTN1
143,CNKSR1
175,COL16A1
9,CPTP
52,CTNNBIP1
80,DDI2
106,DDOST
59,DFFA
74,DHRS3
79,DNAJC16
161,DNAJC8
10,DVL1
109,ECE1
77,EFHD2
180,EIF3I
108,EIF4G3
123,ELOA
94,EMC1
49,ENO1
47,ERRFI1
63,EXOSC10
160,EYA3
23,FAAP20
157,FAM76A
82,FBLIM1
85,FBXO42
66,FBXO44
21,GNB1
148,GPN2
50,H6PD
181,HDAC1
1,HES4
125,HMGCL
118,HNRNPR
107,HP1BP3
112,HSPG2
38,ICMT
122,ID3
92,IFFO2
156,IFI6
128,IFNLR1
8,INTS11
2,ISG15
76,KAZN
116,KDM1A
176,KHDRBS1
196,KIAA0319L
185,KIAA1522
56,KIF1B
41,KLHL21
177,KPNA6
169,LAPTM5
137,LDLRAP1
35,LRRC47
117,LUZP1
53,LZIC
136,MACO1
67,MAD2L2
138,MAN1C1
153,MAP3K6
182,MARCKSL1
168,MECR
32,MEGF6
71,MFN2
16,MIB2
97,MICOS10
72,MIIP
25,MORN1
95,MRTO4
140,MTFR1L
64,MTOR
104,MUL1
11,MXRA8
20,NADK
98,NBL1
197,NCDN
87,NECAP2
129,NIPAL3
0,NOC2L
39,NOL9
149,NUDC
100,OTUD3
141,PAFAH2
28,PANK4
46,PARK7
45,PER3
60,PEX14
57,PGD
163,PHACTR4
190,PHC2
42,PHF13
105,PINK1
124,PITHD1
101,PLA2G2A
102,PLA2G5
27,PLCH2
81,PLEKHM2
70,PLOD1
126,PNRC2
159,PPP1R8
75,PRDM2
22,PRKCZ
30,PRXL2B
198,PSMB2
171,PUM1
110,RAP1GAP
54,RBP7
130,RCAN3
89,RCC2
26,RER1
48,RERE
134,RSRP1
187,S100PBP
170,SDC3
4,SDF4
88,SDHB
139,SELENON
174,SERINC2
194,SFPQ
144,SH3BGRL3
24,SKI
19,SLC35E2A
18,SLC35E2B
191,SMIM12
172,SNRNP40
83,SPEN
62,SRM
131,SRRM1
127,SRSF10
167,SRSF4
15,SSU72
158,STX12
133,SYF2
152,SYTL1
86,SZRD1
165,TAF12
120,TCEA3
99,TMCO4
151,TMEM222
179,TMEM234
192,TMEM35B
135,TMEM50A
188,TMEM54
29,TNFRSF14
33,TPRG1L
164,TRNAU1AP
178,TXLNA
6,UBE2J2
55,UBE4B
65,UBIAD1
93,UBR4
145,UBXN11
111,USP48
44,VAMP3
73,VPS13D
14,VWA1
154,WASF2
150,WDTC1
34,WRAP73
186,YARS
166,YTHDF2
84,ZBTB17
113,ZBTB40
40,ZBTB48
184,ZBTB8A
173,ZCCHC17
147,ZDHHC18
195,ZMYM4
193,ZMYM6
189,ZNF362
119,ZNF436
142,ZNF593
