,gene
375,ABCD3
337,AC118549.1
334,ACADM
7,ACAP3
447,ACP6
381,AGL
200,AGO1
201,AGO3
199,AGO4
3,AGRN
68,AGTRAP
405,AHCYL1
155,AHDC1
318,AK4
218,AKIRIN1
262,AKR1A1
91,ALDH4A1
379,ALG14
313,ALG6
402,AMPD2
391,AMY2B
328,ANKRD13C
454,ANP32E
419,AP4B1
455,APH1A
90,ARHGEF10L
31,ARHGEF16
146,ARID1A
461,ARNT
121,ASAP3
426,ATP1A1
162,ATP5IF1
411,ATP5PB
252,ATP6V0B
275,ATPAF1
12,AURKAIP1
5,B3GALT6
253,B4GALT2
446,BCL9
183,BSDC1
286,BTF3L4
115,C1QB
114,C1QC
212,C1orf109
213,C1orf122
37,C1orf174
498,C1orf43
239,C1orf50
347,C1orf52
103,CAMK2N1
43,CAMTA1
225,CAP1
96,CAPZB
78,CASP9
61,CASZ1
288,CC2D1B
236,CCDC30
349,CCN1
13,CCNL2
466,CDC42SE1
17,CDK11B
58,CENPS
36,CEP104
408,CEPT1
463,CERS2
478,CGN
488,CHTOP
232,CITED4
395,CLCC1
69,CLCN6
132,CLIC4
51,CLSTN1
277,CMPK1
143,CNKSR1
378,CNN3
175,COL16A1
229,COL9A2
294,CPT2
9,CPTP
495,CREB3L4
332,CRYZ
423,CSDE1
404,CSF1
345,CTBS
329,CTH
52,CTNNBIP1
460,CTSK
295,CZIB
385,DBT
348,DDAH1
80,DDI2
106,DDOST
409,DENND2D
493,DENND4B
59,DFFA
301,DHCR24
74,DHRS3
368,DIPK1A
254,DMAP1
79,DNAJC16
161,DNAJC8
210,DNALI1
343,DNASE2B
373,DNTTIP2
312,DOCK7
251,DPH2
389,DPH5
371,DR1
407,DRAM2
10,DVL1
243,EBNA1BP2
109,ECE1
292,ECHDC2
276,EFCAB14
77,EFHD2
257,EIF2B3
180,EIF3I
108,EIF4G3
123,ELOA
245,ELOVL1
94,EMC1
49,ENO1
281,EPS15
255,ERI3
241,ERMAP
47,ERRFI1
367,EVI5
63,EXOSC10
387,EXTL2
160,EYA3
376,F3
272,FAAH
23,FAAP20
278,FAF1
157,FAM76A
82,FBLIM1
85,FBXO42
66,FBXO44
445,FMO5
372,FNBP1L
234,FOXJ3
331,FPGT
340,FUBP1
467,GABPB2
492,GATAD2B
360,GBP2
374,GCLM
430,GDAP2
365,GLMN
401,GNAI3
21,GNB1
324,GNG12
211,GNL2
459,GOLPH3L
264,GPBP1L1
148,GPN2
448,GPR89B
403,GSTM3
357,GTF2B
50,H6PD
181,HDAC1
258,HECTD3
1,HES4
222,HEYL
420,HIPK1
450,HIST2H2AB
125,HMGCL
118,HNRNPR
307,HOOK1
107,HP1BP3
354,HS2ST1
297,HSPB11
112,HSPG2
248,HYI
38,ICMT
122,ID3
92,IFFO2
341,IFI44
156,IFI6
128,IFNLR1
490,ILF2
215,INPP5B
8,INTS11
491,INTS3
250,IPO13
2,ISG15
314,ITGB3BP
317,JAK1
496,JTB
306,JUN
76,KAZN
413,KCND3
116,KDM1A
176,KHDRBS1
196,KIAA0319L
397,KIAA1324
185,KIAA1522
56,KIF1B
41,KLHL21
177,KPNA6
358,KYAT3
169,LAPTM5
137,LDLRAP1
319,LEPROT
442,LIX1L
355,LMO4
346,LPAR3
417,LRIG2
326,LRRC40
270,LRRC41
298,LRRC42
35,LRRC47
361,LRRC8B
362,LRRC8D
206,LSM10
117,LUZP1
53,LZIC
220,MACF1
136,MACO1
67,MAD2L2
428,MAN1A2
138,MAN1C1
153,MAP3K6
203,MAP7D1
182,MARCKSL1
266,MAST2
458,MCL1
208,MEAF6
168,MECR
246,MED8
32,MEGF6
71,MFN2
383,MFSD14A
16,MIB2
97,MICOS10
321,MIER1
339,MIGA1
72,MIIP
464,MINDY1
273,MKNK1
274,MOB3C
25,MORN1
415,MOV10
95,MRTO4
214,MTF1
369,MTF2
140,MTFR1L
64,MTOR
104,MUL1
260,MUTYH
11,MXRA8
20,NADK
263,NASP
98,NBL1
197,NCDN
219,NDUFS5
87,NECAP2
308,NFIA
231,NFYC
129,NIPAL3
0,NOC2L
39,NOL9
435,NOTCH2
422,NRAS
283,NRDC
271,NSUN4
149,NUDC
481,OAZ3
351,ODF2L
304,OMA1
282,OSBPL9
100,OTUD3
451,OTUD7B
238,P3H1
221,PABPC4
141,PAFAH2
28,PANK4
46,PARK7
310,PATJ
320,PDE4B
449,PDE4DIP
45,PER3
440,PEX11B
60,PEX14
57,PGD
315,PGM1
163,PHACTR4
190,PHC2
42,PHF13
434,PHGDH
473,PI4KB
439,PIAS3
336,PIGK
267,PIK3R3
105,PINK1
470,PIP5K1A
124,PITHD1
356,PKN2
101,PLA2G2A
102,PLA2G5
27,PLCH2
81,PLEKHM2
453,PLEKHO1
70,PLOD1
303,PLPP3
126,PNRC2
477,POGZ
438,POLR3C
269,POMGNT1
235,PPCS
223,PPIE
237,PPIH
159,PPP1R8
226,PPT1
75,PRDM2
444,PRKAB2
342,PRKACB
22,PRKCZ
456,PRPF3
289,PRPF38A
393,PRPF38B
465,PRUNE1
30,PRXL2B
400,PSMA5
198,PSMB2
476,PSMB4
471,PSMD4
380,PTBP2
427,PTGFRN
249,PTPRF
171,PUM1
497,RAB13
284,RAB3B
335,RABGGTB
412,RAP1A
110,RAP1GAP
316,RAVER2
441,RBM8A
359,RBMXL1
54,RBP7
130,RCAN3
89,RCC2
26,RER1
48,RERE
474,RFX5
227,RLF
279,RNF11
437,RNF115
390,RNPC3
482,RORC
366,RPAP2
344,RPF1
457,RPRD2
418,RSBN1
134,RSRP1
386,RTCA
483,S100A10
484,S100A11
487,S100A13
486,S100A4
485,S100A6
187,S100PBP
398,SARS
233,SCMH1
468,SCNM1
293,SCP2
170,SDC3
4,SDF4
88,SDHB
436,SEC22B
475,SELENBP1
353,SELENOF
139,SELENON
323,SERBP1
174,SERINC2
462,SETDB1
216,SF3A3
194,SFPQ
144,SH3BGRL3
352,SH3GLB1
424,SIKE1
24,SKI
416,SLC16A1
392,SLC25A24
242,SLC2A1
388,SLC30A7
382,SLC35A3
322,SLC35D1
19,SLC35E2A
18,SLC35E2B
494,SLC39A1
377,SLC44A3
230,SMAP2
191,SMIM12
489,SNAPIN
209,SNIP1
172,SNRNP40
480,SNX27
399,SORT1
83,SPEN
62,SRM
131,SRRM1
127,SRSF10
327,SRSF11
167,SRSF4
300,SSBP3
15,SSU72
414,ST7L
205,STK40
406,STRIP1
158,STX12
394,STXBP3
240,SVBP
133,SYF2
152,SYTL1
86,SZRD1
247,SZT2
305,TACSTD2
165,TAF12
120,TCEA3
429,TENT5C
261,TESK2
204,THRAP3
309,TM2D1
99,TMCO4
370,TMED5
244,TMEM125
396,TMEM167B
151,TMEM222
179,TMEM234
192,TMEM35B
135,TMEM50A
256,TMEM53
188,TMEM54
299,TMEM59
265,TMEM69
29,TNFRSF14
33,TPRG1L
202,TRAPPC3
421,TRIM33
224,TRIT1
384,TRMT13
164,TRNAU1AP
268,TSPAN1
280,TTC39A
479,TUFT1
290,TUT4
178,TXLNA
285,TXNDC12
443,TXNIP
333,TYW3
499,UBAP2L
6,UBE2J2
55,UBE4B
65,UBIAD1
93,UBR4
145,UBXN11
259,UROD
311,USP1
302,USP24
338,USP33
111,USP48
217,UTP11
44,VAMP3
425,VANGL1
73,VPS13D
452,VPS45
469,VPS72
14,VWA1
432,WARS2
154,WASF2
431,WDR3
410,WDR77
150,WDTC1
325,WLS
34,WRAP73
186,YARS
296,YIPF1
166,YTHDF2
84,ZBTB17
113,ZBTB40
40,ZBTB48
184,ZBTB8A
207,ZC3H12A
173,ZCCHC17
147,ZDHHC18
287,ZFYVE9
228,ZMPSTE24
195,ZMYM4
193,ZMYM6
363,ZNF326
189,ZNF362
119,ZNF436
142,ZNF593
364,ZNF644
472,ZNF687
433,ZNF697
350,ZNHIT6
330,ZRANB2
291,ZYG11B
