,gene
946,AAK1
375,ABCD3
337,AC118549.1
334,ACADM
7,ACAP3
723,ACBD3
614,ACBD6
780,ACP1
447,ACP6
968,ACTG2
913,ACYP2
509,ADAM15
795,ADAM17
503,ADAR
785,ADI1
656,ADIPOR1
766,ADSS
935,AFTPH
839,AGBL5
381,AGL
200,AGO1
201,AGO3
199,AGO4
3,AGRN
68,AGTRAP
773,AHCTF1
405,AHCYL1
155,AHDC1
708,AIDA
318,AK4
218,AKIRIN1
262,AKR1A1
764,AKT3
91,ALDH4A1
581,ALDH9A1
379,ALG14
313,ALG6
964,ALMS1
402,AMPD2
391,AMY2B
692,ANGEL2
328,ANKRD13C
454,ANP32E
944,ANTXR1
947,ANXA4
419,AP4B1
455,APH1A
731,ARF1
90,ARHGEF10L
549,ARHGEF11
31,ARHGEF16
146,ARID1A
751,ARID4B
651,ARL8A
461,ARNT
621,ARPC5
791,ASAP2
121,ASAP3
910,ASB3
521,ASH1L
831,ASXL2
822,ATAD2B
688,ATF3
575,ATF6
882,ATL2
426,ATP1A1
591,ATP1B1
162,ATP5IF1
411,ATP5PB
252,ATP6V0B
501,ATP8B2
275,ATPAF1
844,ATRAID
977,AUP1
12,AURKAIP1
755,B3GALNT2
5,B3GALT6
253,B4GALT2
572,B4GALT3
855,BABAM2
446,BCL9
536,BGLAP
867,BIRC6
592,BLZF1
701,BPNT1
183,BSDC1
286,BTF3L4
659,BTG2
115,C1QB
114,C1QC
212,C1orf109
704,C1orf115
674,C1orf116
213,C1orf122
37,C1orf174
742,C1orf198
623,C1orf21
732,C1orf35
498,C1orf43
239,C1orf50
347,C1orf52
992,C2orf68
925,C2orf74
103,CAMK2N1
896,CAMKMT
640,CAMSAP2
43,CAMTA1
225,CAP1
985,CAPG
709,CAPN2
96,CAPZB
78,CASP9
61,CASZ1
288,CC2D1B
236,CCDC30
917,CCDC88A
349,CCN1
13,CCNL2
739,CCSAP
541,CCT3
928,CCT4
963,CCT7
677,CD46
676,CD55
727,CDC42BPA
466,CDC42SE1
634,CDC73
17,CDK11B
877,CEBPZ
876,CEBPZOS
58,CENPS
36,CEP104
762,CEP170
612,CEP350
938,CEP68
408,CEPT1
463,CERS2
918,CFAP36
478,CGN
842,CGREF1
996,CHMP3
488,CHTOP
232,CITED4
395,CLCC1
69,CLCN6
132,CLIC4
859,CLIP4
518,CLK2
51,CLSTN1
277,CMPK1
143,CNKSR1
378,CNN3
771,CNST
748,COA6
741,COG2
175,COL16A1
229,COL9A2
929,COMMD1
558,COPA
726,COQ8A
889,COX7A2L
793,CPSF3
294,CPT2
9,CPTP
495,CREB3L4
586,CREG1
871,CRIM1
901,CRIPT
332,CRYZ
423,CSDE1
404,CSF1
345,CTBS
329,CTH
52,CTNNBIP1
460,CTSK
657,CYB5R1
881,CYP1B1
295,CZIB
524,DAP3
602,DARS2
385,DBT
588,DCAF6
556,DCAF8
971,DCTN1
348,DDAH1
80,DDI2
106,DDOST
811,DDX1
639,DDX59
568,DEDD
712,DEGS1
636,DENND1B
409,DENND2D
493,DENND4B
767,DESI2
59,DFFA
969,DGUOK
301,DHCR24
74,DHRS3
618,DHX9
368,DIPK1A
254,DMAP1
715,DNAH14
79,DNAJC16
161,DNAJC8
210,DNALI1
343,DNASE2B
829,DNMT3A
373,DNTTIP2
312,DOCK7
251,DPH2
389,DPH5
512,DPM3
863,DPY30
371,DR1
407,DRAM2
667,DSTYK
830,DTNB
966,DUSP11
574,DUSP12
10,DVL1
243,EBNA1BP2
109,ECE1
292,ECHDC2
624,EDEM3
597,EEF1AKNMT
276,EFCAB14
769,EFCAB2
77,EFHD2
510,EFNA1
930,EHBP1
875,EIF2AK2
257,EIF2B3
846,EIF2B4
672,EIF2D
180,EIF3I
108,EIF4G3
783,EIPR1
650,ELF3
668,ELK4
984,ELMOD3
123,ELOA
245,ELOVL1
94,EMC1
841,EMILIN1
888,EML4
